wall=14.29s run=01M156JN21TS34NQAF2Y7T85SG state=PARTIAL

=== CUMULATIVE (all) ===
         10128599 function calls (10082599 primitive calls) in 14.290 seconds

   Ordered by: cumulative time
   List reduced from 2395 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42129    0.006    0.000    0.027    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:196(_close)
     9141    0.004    0.000    0.009    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/parsing.py:163(handle_endtag)
     6849    0.004    0.000    0.006    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/parsing.py:187(_emit)
    10391    0.003    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/listings.py:174(<dictcomp>)
     2190    0.003    0.000    0.011    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:285(has_finite_verb)
       22    0.003    0.000    0.134    0.006 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:448(candidates)
    12692    0.003    0.000    0.004    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:135(_emit)
    21207    0.003    0.000    0.004    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:228(handle_data)
     8560    0.003    0.000    0.005    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/independence.py:172(<genexpr>)
    54000    0.003    0.000    0.005    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:243(<genexpr>)
       22    0.002    0.000    0.188    0.009 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/evidence_text.py:508(evidence_excerpt)
      400    0.002    0.000    0.010    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:239(_no_answer_key)
     1302    0.002    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/pack.py:169(add)
    14711    0.002    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/filing_text.py:187(handle_startendtag)
    21826    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/external_intel/competitor_finder.py:191(<genexpr>)
    11423    0.002    0.000    0.003    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/parsing.py:210(handle_data)
      169    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/strategic_intelligence/subject.py:84(_last_start)
    28894    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/company_ingestion/claims.py:217(<genexpr>)
      400    0.002    0.000    0.013    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/validation/manifest.py:229(_company)
       25    0.002    0.000    0.002    0.000 /Users/prathamsharma/intent-engine-econ/src/intent_engine/founder_intelligence/records.py:193(_looks_like_card_number)


